iso_code,date,continent,location,reproduction_rate,C1_combined_numeric,C1_combined,C2_combined_numeric,C2_combined,C3_combined_numeric,C3_combined,C4_combined_numeric,C4_combined,C5_combined_numeric,C5_combined,C6_combined_numeric,C6_combined,C7_combined_numeric,C7_combined,C8_combined_numeric,C8_combined,E1_combined_numeric,E1_combined,E2_combined_numeric,E2_combined,H1_combined_numeric,H1_combined,H2_combined_numeric,H2_combined,H3_combined_numeric,H3_combined,H6_combined_numeric,H6_combined,H7_combined_numeric,H7_combined,H8_combined_numeric,H8_combined
NLD,2020-06-17,Europe,Netherlands,0.78,1,1G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-06-18,Europe,Netherlands,0.73,1,1G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-06-19,Europe,Netherlands,0.69,1,1G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-06-20,Europe,Netherlands,0.68,1,1G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-06-21,Europe,Netherlands,0.67,1,1G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-06-22,Europe,Netherlands,0.68,1,1G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-06-23,Europe,Netherlands,0.7,1,1G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-06-24,Europe,Netherlands,0.72,1,1G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-06-25,Europe,Netherlands,0.74,1,1G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-06-26,Europe,Netherlands,0.74,1,1G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-06-27,Europe,Netherlands,0.73,1,1G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-06-28,Europe,Netherlands,0.74,1,1G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-06-29,Europe,Netherlands,0.75,1,1G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-06-30,Europe,Netherlands,0.76,1,1G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-07-01,Europe,Netherlands,0.76,1,1G,2,2G,0,0,2,2G,0,0,1,1G,0,0,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-07-02,Europe,Netherlands,0.78,1,1G,2,2G,0,0,2,2G,0,0,1,1G,0,0,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-07-03,Europe,Netherlands,0.78,1,1G,2,2G,0,0,2,2G,0,0,1,1G,0,0,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-07-04,Europe,Netherlands,0.78,1,1G,2,2G,0,0,2,2G,0,0,1,1G,0,0,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
